,Unnamed: 0,state,district,block,panchayat,village,stateCode,districtCode,blockCode,panchayatCode,locationType,name,slug,finyear,value,textValue,lastUpdateDate
30,4602,ANDHRA PRADESH,ANANTAPUR,Lepakshi,,,2,212,212056.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,186424.0,186424.0,2019-10-18
31,4750,ANDHRA PRADESH,ANANTAPUR,Madakasira,,,2,212,212059.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,230744.0,230744.0,2019-10-18
32,4898,ANDHRA PRADESH,ANANTAPUR,Mudigubba,,,2,212,212038.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,644223.0,644223.0,2019-10-18
33,5046,ANDHRA PRADESH,ANANTAPUR,Nallacheruvu,,,2,212,212042.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,274799.0,274799.0,2019-10-18
34,5194,ANDHRA PRADESH,ANANTAPUR,Nambulipulikunta,,,2,212,212040.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,447884.0,447884.0,2019-10-18
35,5342,ANDHRA PRADESH,ANANTAPUR,Narpala,,,2,212,212027.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,572291.0,572291.0,2019-10-18
36,5490,ANDHRA PRADESH,ANANTAPUR,Obuladevaracheruvu,,,2,212,212046.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,333794.0,333794.0,2019-10-18
37,5638,ANDHRA PRADESH,ANANTAPUR,Pamidi,,,2,212,212012.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,390464.0,390464.0,2019-10-18
38,5786,ANDHRA PRADESH,ANANTAPUR,Parigi,,,2,212,212058.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,245021.0,245021.0,2019-10-18
39,5934,ANDHRA PRADESH,ANANTAPUR,Peddapappur,,,2,212,212010.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,437831.0,437831.0,2019-10-18
40,6082,ANDHRA PRADESH,ANANTAPUR,Peddavadugur,,,2,212,212007.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,401843.0,401843.0,2019-10-18
41,6230,ANDHRA PRADESH,ANANTAPUR,Penu Konda,,,2,212,212052.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,442336.0,442336.0,2019-10-18
