,blockCode
0,0212016
1,0210001
2,0211009
3,0204018
4,0207030
5,0206005
6,0213027
7,0209031
8,0208007
9,0201026
10,0203033
11,0202002
12,0205019
13,0317003
14,0310003
15,0303009
16,0307005
17,0316012
18,0316008
19,0309001
20,0311003
21,0314001
22,0304002
23,0309002
24,0312006
25,0307006
26,0301004
27,0311004
28,0315002
29,0313005
30,0305006
31,0302005
32,0306009
33,0424006
34,0405008
35,0409011
36,0403093
37,0423010
38,0416005
39,0425006
40,0408014
41,0411002
42,0401005
43,0417011
44,0420002
45,0404007
46,0414003
47,0422002
48,0413093
49,0415003
50,0407007
51,0426003
52,0419009
53,0421005
54,0402093
55,0410010
56,0415008
57,0412097
58,0413005
59,0406003
60,0416009
61,0409003
62,0401013
63,0418004
64,0427009
65,0541006
66,0551001
67,0505002
68,0545008
69,0517011
70,0527005
71,0503001
72,0548004
73,0519012
74,0507001
75,0511004
76,0550008
77,0506002
78,0549002
79,0524004
80,0525004
81,0542004
82,0546006
83,0522003
84,0520008
85,0526022
86,0515012
87,0502011
88,0508006
89,0512001
90,0501013
91,0513006
92,0523003
93,0504006
94,0521011
95,0518010
96,0509011
97,0547002
98,0543003
99,0514010
100,0510006
101,0544001
102,0516013
103,3303009
104,3316004
105,3305014
106,3311013
107,3303004
108,3312001
109,3301019
110,3312006
111,3309004
112,3303007
113,3316010
114,3314007
115,3307010
116,3310012
117,3302004
118,3311007
119,3308005
120,3306004
121,3315003
122,3301022
123,3311004
124,3313009
125,3316015
126,3304006
127,3312010
128,3305015
129,3305003
130,1112002
131,1105004
132,1122003
133,1109010
134,1108017
135,1116012
136,1104001
137,1104011
138,1115014
139,1119005
140,1101005
141,1123005
142,1111005
143,1106016
144,1101001
145,1106014
146,1107006
147,1113010
148,1110016
149,1114005
150,1103006
151,1124003
152,1125002
153,1114001
154,1120007
155,1121006
156,1102006
157,1109001
158,1117005
159,1103010
160,1126001
161,1115006
162,1118008
163,1201012
164,1213007
165,1213094
166,1209001
167,1218025
168,1210004
169,1215007
170,1220003
171,1214001
172,1204001
173,1205092
174,1203003
175,1212002
176,1219006
177,1219001
178,1217005
179,1206093
180,1211008
181,1208007
182,1216002
183,1207008
184,1202100
185,1301004
186,1302006
187,1303005
188,1304014
189,1305002
190,1306001
191,1307001
192,1308003
193,1309009
194,1310002
195,1311003
196,1312002
197,1406029
198,1404017
199,1419011
200,1402019
201,1409028
202,1420006
203,1413014
204,1408007
205,1414011
206,1409019
207,1421004
208,1401023
209,1407014
210,1411001
211,1405010
212,1412002
213,1416006
214,1417001
215,1418004
216,1422005
217,1403005
218,1410002
219,3420009
220,3417009
221,3422003
222,3421011
223,3411006
224,3410011
225,3407003
226,3419003
227,3415040
228,3403003
229,3416016
230,3412006
231,3401012
232,3418002
233,3406008
234,3402004
235,3414005
236,3405004
237,3416009
238,3401017
239,3413006
240,3409005
241,3404007
242,3408002
243,1501005
244,1505003
245,1504007
246,1502003
247,1503003
248,1506004
249,1508003
250,1528002
251,1509007
252,1510002
253,1511002
254,1512001
255,1513003
256,1514002
257,1516002
258,1517005
259,1515001
260,1518002
261,1519011
262,1520002
263,1521005
264,1522006
265,1523005
266,1529003
267,1524001
268,1525003
269,1526003
270,1527008
271,1507003
272,1515009
273,1611002
274,1608006
275,1609004
276,1602004
277,1601005
278,1613006
279,1610003
280,1604007
281,1605005
282,1606002
283,1612007
284,1614008
285,1607016
286,1603001
287,1719001
288,1721007
289,1746003
290,1748005
291,1738001
292,1742004
293,1731006
294,1702004
295,1728001
296,1747009
297,1708001
298,1736007
299,1711006
300,1704002
301,1720003
302,1722007
303,1745001
304,1706004
305,1703003
306,1743001
307,1732002
308,1723004
309,1733006
310,1721002
311,1744003
312,1725005
313,1724005
314,1735006
315,1716005
316,1701005
317,1734004
318,1741003
319,1709003
320,1730002
321,1726004
322,1717003
323,1713005
324,1710010
325,1712002
326,1729001
327,1737002
328,1714003
329,1719005
330,1739001
331,1705004
332,1715001
333,1715004
334,1707004
335,1718004
336,1740002
337,1727001
338,1809005
339,1823011
340,1824004
341,1815008
342,1818002
343,1828023
344,1822012
345,1829006
346,1807002
347,1830002
348,1833002
349,1834010
350,1808012
351,1816005
352,1814001
353,1821006
354,1827003
355,1819010
356,1831007
357,1806011
358,1820037
359,1802005
360,1817010
361,1810009
362,1803004
363,1804002
364,1812005
365,1811002
366,1805002
367,1813004
368,1802009
369,1826006
370,1832003
371,1825017
372,2006005
373,2004008
374,2003007
375,2009009
376,2007008
377,2001001
378,2002003
379,2005002
380,2008003
381,2104003
382,2101008
383,2102004
384,2104005
385,2107003
386,2106014
387,2105016
388,2103002
389,2105013
390,2101006
391,2103004
392,2201001
393,2206002
394,2205002
395,2208002
396,2202001
397,2204001
398,2203005
399,2207001
400,2308002
401,2309001
402,2301004
403,2310001
404,2305006
405,2307007
406,2311001
407,2302005
408,2306009
409,2304006
410,2303007
411,2421005
412,2405001
413,2414010
414,2417007
415,2409007
416,2426002
417,2406004
418,2416003
419,2407005
420,2424007
421,2412017
422,2419001
423,2420010
424,2415005
425,2410013
426,2408021
427,2418004
428,2403012
429,2423008
430,2411017
431,2431010
432,2404066
433,2430008
434,2422005
435,2428005
436,2413007
437,2429003
438,2401022
439,2427002
440,2402008
441,2602005
442,2621009
443,2611009
444,2612007
445,2618005
446,2603008
447,2603005
448,2601007
449,2607005
450,2605019
451,2606003
452,2604004
453,2617002
454,2615003
455,2616001
456,2614005
457,2622001
458,2609006
459,2608004
460,2610002
461,2619006
462,2620009
463,2721006
464,2706007
465,2728003
466,2731006
467,2717013
468,2707007
469,2724008
470,2703005
471,2723001
472,2729014
473,2704003
474,2711004
475,2708002
476,2727010
477,2702001
478,2712012
479,2716003
480,2718002
481,2732008
